id,name,description,stock
73,CTRL-12V-REFLED-RGBW,"""""Controlador RGBW a 12V para reflectores RGBW, incluye control remoto RF""",148
74,DH-98A-S,Detector de humo fotoeléctrico Version Star,7068
75,DIMLED-127V-200W,Interruptor Dimmer regulador de intensidad para casa,1570
76,DRIVERLED-12V-100W-IP66,Driver con salida a 12V de 100 W IP66 para proyecto (aluminio),6
77,DRIVERLED-12V-100W-IP67-O,"""""Driver 12 V DC, 100 Watts, IP67 uso exterior, proyectos""",345
78,DRIVERLED-12V-100W-PR,Driver con salida a 12V de 100 W para proyecto (aluminio),4948
79,DRIVERLED-12V-12W-PI,Driver con salida a 12V de 12W para contacto plug-in,143
80,DRIVERLED-12V-150W-PR,Driver con salida a 12V de 150 W para proyecto (aluminio),1117
81,DRIVERLED-12V-15W-PR,Driver con salida a 12V de 15W para proyecto (aluminio),282
82,DRIVERLED-12V-200W-IP67-O,"""""Driver 12 V DC, 200 Watts, IP67 uso exterior, proyectos""",108
83,DRIVERLED-12V-200W-PR,Driver con salida a 12V de 200 W para proyecto (aluminio),6
84,DRIVERLED-12V-360W-PR,Driver con salida a 12V de 360 W para proyecto (aluminio),822
85,DRIVERLED-12V-36W-IP67-O,"""""Driver 12 V DC, 36 Watts, IP67 uso exterior, proyectos""",555
86,DRIVERLED-12V-500W-PR,Driver con salida a 12V de 500 W para proyecto (aluminio),272
87,DriverLED-12V-6W-PI,Driver Plug-In de 6W,562
88,DRIVERLED-12V-72W-PI,Driver con salida a 12V de 72 W para contacto plug-in,390
89,DRIVERLED-24V-100W-IP67-O,"""""Driver 24 V DC, 100 Watts, IP67 uso exterior, proyectos""",213
90,DRIVERLED-24V-100W-PR,Driver con salida a 24V de 100 W para proyecto (aluminio),2561
91,DRIVERLED-24V-200W-IP67-O,"""""Driver 24 V DC, 200 Watts, IP67 uso exterior, proyectos""",112
92,DRIVERLED-24V-200W-PR,Driver con salida a 24V de 200 W para proyecto (aluminio),305
93,DRIVERLED-24V-36W-IP67-O,"""""Driver 24 V DC, 36 Watts, IP67 uso exterior, proyectos""",589
94,DRIVER-SM-100W-65V,Driver para Pelicula inteligente - Smart Film,65
95,EWINDOW-120X60/BLUE-SKY/SMF,Luminario para sobreponer con simulacion de transcurso de día cielo azul 120x60,3
96,EWINDOW-120X60/CLOUDY-SKY/RMF,Luminario para empotrar con simulacion de transcurso de día con nubes 120x60,1
97,EWINDOW-60X60/BLUE-SKY/RMF,Luminario para empotrar con simulacion de transcurso de día cielo azul 60x60,2
98,EWINDOW-CONTROL-PANEL,Panel de control para luminarias Ewindow,2
99,FE-720-S,Fotocelda Externa,4370
100,FGRGBWM-442,CONTROLADOR RGBW CON CONEXIÓN Z-WAVE,7
101,FI-770/LED,"""""Fotocelda interna para cargas incandescentes,halógenas y LED""",5266
102,FI-770/LED/4-PACK,"4 pack - Fotocelda interna para cargas incandescentes,halógenas y LED",2
103,FLUSH-DIMMER-Q-0-10V,Dimmer de 0 a 10V Zwave,9
104,GDL-SER-127V/AZ,SERIE CON GUIRNALDA LED COLOR AZUL,184
105,GDL-SER-127V/BC,SERIE CON GUIRNALDA LED COLOR BLANCO CALIDO,1526
106,GDL-SER-127V/BC/2-PACK,2Pack - SERIE CON GUIRNALDA LED COLOR BLANCO CALIDO,2
107,GDL-SER-127V/LD,SERIE CON GUIRNALDA LED COLOR LUZ DE DIA,944
108,GDL-SER-127V/RO,SERIE CON GUIRNALDA LED COLOR ROJO,69
109,GDL-SER-127V/VE,SERIE CON GUIRNALDA LED COLOR VERDE,75
110,HLED-116/AL,EXTERIOR MUROS LED 6W100-240V3000K,7
111,H-MLED-2835SMD-127V/BC,"""""Manguera flexible 60 LEDs x metro, 2835 SMD, exterior 25 m""",840
112,H-MLED-2835SMD-127V/LD,"""""Manguera flexible 60 LEDs x metro, 2835 SMD, exterior 25 m""",896
113,H-MLED-5050SMD-127V/BC,"""""Manguera flexible 60 LEDs x metro, 5050 SMD, exterior 25 m""",2523
114,H-MLED-5050SMD-127V/LD,"""""Manguera flexible 60 LEDs x metro, 5050 SMD, exterior 25 m""",1349
115,HSC6-HP-US,Termostato Inteligente Aire Acondicionado Central,200
116,HSC8-FC4,Termostato Fan coil,404
117,HSC-C221,MODULO CONTROLADOR DE CORTINA,52
118,HSC-G150-US,Controlador HorusPlus,121
119,HSC-P511-US,Interruptor Táctil Inteligente Dimmer,204
120,HSC-S220-US,Módulo de contacto seco Horus,6
121,HSC-S222,Módulo de control de cargas Horus v2.0,76
122,HSC-S511-US,Interruptor Táctil Inteligente Sencillo,213
123,HSC-S512-US,Interruptor Táctil Inteligente Doble,129
124,HSC-S513-US,Interruptor Táctil Inteligente Triple,269
125,HTIP65-2835LD-CON24W,Kit de tira led luz de día para exterior con convertidor de corriente,2
126,H-TLED-120-2835/BC,"""""Tira flexible 120 LEDs x metro, 2835 SMD, interior""",791
127,H-TLED-120-2835/LD,"""""Tira flexible 120 LEDs x metro, 2835 SMD, interior""",623
128,H-TLED-60-2835/BC,"""""Tira flexible 60 LEDs x metro, 2835 SMD, interior""",1046
129,H-TLED-60-2835/LD,"""""Tira flexible 60 LEDs x metro, 2835 SMD, interior""",8080
130,H-TLED-60-5050/BC,"""""Tira flexible 60 LEDs x metro, 5050 SMD, interior""",721
131,H-TLED-60-IP65-2835/BC,"""""Tira flexible 60 LEDs x metro, 2835 SMD, exterior""",3247
132,H-TLED-60-IP65-2835/LD,"""""Tira flexible 60 LEDs x metro, 2835 SMD, exterior""",717
133,H-TLED-60-IP65-5050/BC,"""""Tira flexible 60 LEDs x metro, 5050 SMD, exterior""",2128
134,H-TLED-60-IP65-5050/LD,"""""Tira flexible 60 LEDs x metro, 5050 SMD, exterior""",2252
135,IN4044GBNB,OCEAN ELEM LED 38W 4000K 100-260V GRIS,6
136,LED BAR-100/BC,Barra de LED 5050 SMD 12V 100cm Blanco Cálido,169
137,LED BAR-150/BC,Barra de LED 5050 SMD 12V 150cm Blanco Cálido,413
138,LED BAR-25/BC,Barra de LED 5050 SMD 12V 25cm Blanco Cálido,305
139,LED BAR-25/LD,Barra de LED 5050 SMD 12V 25cm Luz de Día,18
140,LE-LED/90/SMD,Luminario de 90 LED 3528 SMD 110-220V con función de emergencia,4782
141,LT-3040-5A,REPETIDOR DE PODER,10
142,LUM-SOL-IP54/GR,Luminario para exterior IP54 con celda fotovoltáica (panel solar) y cable USB para carga color Gris,139
143,LUM-SOL-IP54/NA,Luminario para exterior IP54 con celda fotovoltáica (panel solar) y cable USB para carga Naranja,2
144,LUM-SOL-IP54/VE,Luminario para exterior IP54 con celda fotovoltáica (panel solar) y cable USB para carga Verde,36
145,M5+M3-3A,Controlador,1332
146,MIN2-1,Cable con clavija y fusible para manguera de bulbos incandescentes 2 hilos,5
147,MIN2-50/AM,Manguera redonda de bulbos incandescentes 2 hilos 50m 127V IP65 Amarillo,23
148,MIN2-50/AZ,Manguera redonda de bulbos incandescentes 2 hilos 50m 127V IP65 Azul,43
149,MIN2-50/NA,Manguera redonda de bulbos incandescentes 2 hilos 50m 127V IP65 Naranja,67
150,MIN2-50/VE,Manguera redonda de bulbos incandescentes 2 hilos 50m 127V IP65 Verde,15
